ID	GROUP	SESSION	DATE	TIME	TRIAL_BLK	BLK_NO	DISTRIBUTION	AMP	LOGICAL_AMP	PHY_BOUND	DISTANCE	TRUE_CAT	SUB RESPONSE	FEEDBACK	RT	CORRECT_B	CORRECT_S	pDISTRIBUTION	pAMP	pphyBOUND	pDISTANCE	pTRUE_CAT	pSUB RESPONSE	pFEEDBACK	pRT	TOTAL_BLK	TOTAL_TRIAL_INBLK	TRIAL_SSE
1	0	1	20260611	155656	35	3	2	54.6069	-0.3595	60	5.3931	0	0	1	1.4170527	25	99	2	47.9132	60	12.0868	0	0	1	0.8157714	13	41	120
1	0	1	20260611	155700	36	3	2	46.2645	-0.9157	60	13.7355	0	0	1	0.6324044	26	100	2	54.6069	60	5.3931	0	0	1	1.4170527	13	41	121
1	0	1	20260611	155702	37	3	2	61.3678	0.0912	60	1.3678	1	1	1	1.1322804	27	101	2	46.2645	60	13.7355	0	0	1	0.6324044	13	41	122
1	0	1	20260611	155705	38	3	2	62.7405	0.1827	60	2.7405	1	1	1	1.7680815	28	102	2	61.3678	60	1.3678	1	1	1	1.1322804	13	41	123
1	0	1	20260611	155708	39	3	2	69.87	0.658	60	9.87	1	1	1	1.0159311	29	103	2	62.7405	60	2.7405	1	1	1	1.7680815	13	41	124
1	0	1	20260611	155711	40	3	2	61.443	0.0962	60	1.443	1	0	0	0.5495983	29	103	2	69.87	60	9.87	1	1	1	1.0159311	13	41	125
1	0	1	20260611	155713	41	3	2	46.2857	-0.9143	60	13.7143	0	1	0	0.8159017	29	103	2	61.443	60	1.443	1	0	0	0.5495983	13	41	126
1	0	1	20260611	155716	1	4	2	73.3357	0.889	60	13.3357	1	1	1	0.7668029	1	104	2	46.2857	60	13.7143	0	1	0	0.8159017	13	42	127
1	0	1	20260611	155718	2	4	2	61.9837	0.1322	60	1.9837	1	0	0	0.7837987	1	104	2	73.3357	60	13.3357	1	1	1	0.7668029	13	42	128
1	0	1	20260611	155721	3	4	2	67.5366	0.5024	60	7.5366	1	1	1	1.2662297	2	105	2	61.9837	60	1.9837	1	0	0	0.7837987	13	42	129
1	0	1	20260611	155723	4	4	2	49.3618	-0.7092	60	10.6382	0	0	1	2.0016201	3	106	2	67.5366	60	7.5366	1	1	1	1.2662297	13	42	130
1	0	1	20260611	155727	5	4	2	49.301	-0.7133	60	10.699	0	0	1	1.2011941	4	107	2	49.3618	60	10.6382	0	0	1	2.0016201	13	42	131
1	0	1	20260611	155730	6	4	2	56.1174	-0.2588	60	3.8826	0	1	0	0.6317025	4	107	2	49.301	60	10.699	0	0	1	1.2011941	13	42	132
1	0	1	20260611	155732	7	4	2	70.1758	0.6784	60	10.1758	1	1	1	0.6156771	5	108	2	56.1174	60	3.8826	0	1	0	0.6317025	13	42	133
1	0	1	20260611	155735	8	4	2	64.1388	0.2759	60	4.1388	1	1	1	1.0665777	6	109	2	70.1758	60	10.1758	1	1	1	0.6156771	13	42	134
1	0	1	20260611	155737	9	4	2	64.6776	0.3118	60	4.6776	1	1	1	1.1332741	7	110	2	64.1388	60	4.1388	1	1	1	1.0665777	13	42	135
1	0	1	20260611	155740	10	4	2	66.3708	0.4247	60	6.3708	1	0	0	0.6809237	7	110	2	64.6776	60	4.6776	1	1	1	1.1332741	13	42	136
1	0	1	20260611	155743	11	4	2	64.7429	0.3162	60	4.7429	1	1	1	1.1164648	8	111	2	66.3708	60	6.3708	1	0	0	0.6809237	13	42	137
1	0	1	20260611	155746	12	4	2	58.8355	-0.0776	60	1.1645	0	1	0	0.5985803	8	111	2	64.7429	60	4.7429	1	1	1	1.1164648	13	42	138
1	0	1	20260611	155748	13	4	2	64.814	0.3209	60	4.814	1	1	1	1.3171182	9	112	2	58.8355	60	1.1645	0	1	0	0.5985803	13	42	139
1	0	1	20260611	155751	14	4	2	68.3709	0.5581	60	8.3709	1	1	1	1.3655789	10	113	2	64.814	60	4.814	1	1	1	1.3171182	13	42	140
1	0	1	20260611	155754	15	4	2	65.6658	0.3777	60	5.6658	1	1	1	1.0665438	11	114	2	68.3709	60	8.3709	1	1	1	1.3655789	13	42	141
1	0	1	20260611	155756	16	4	2	55.6789	-0.2881	60	4.3211	0	0	1	0.7657497	12	115	2	65.6658	60	5.6658	1	1	1	1.0665438	13	42	142
1	0	1	20260611	155759	17	4	2	48.6742	-0.7551	60	11.3258	0	0	1	1.0031267	13	116	2	55.6789	60	4.3211	0	0	1	0.7657497	13	42	143
1	0	1	20260611	155801	18	4	2	50.3718	-0.6419	60	9.6282	0	0	1	0.5834243	14	117	2	48.6742	60	11.3258	0	0	1	1.0031267	13	42	144
1	0	1	20260611	155804	19	4	2	56.1011	-0.2599	60	3.8989	0	0	1	0.5320636	15	118	2	50.3718	60	9.6282	0	0	1	0.5834243	13	42	145
1	0	1	20260611	155806	20	4	2	53.9795	-0.4014	60	6.0205	0	0	1	0.6156705	16	119	2	56.1011	60	3.8989	0	0	1	0.5320636	13	42	146
1	0	1	20260611	155808	21	4	2	55.8078	-0.2795	60	4.1922	0	0	1	0.4651463	17	120	2	53.9795	60	6.0205	0	0	1	0.6156705	13	42	147
1	0	1	20260611	155810	22	4	2	58.0167	-0.1322	60	1.9833	0	0	1	0.6827648	18	121	2	55.8078	60	4.1922	0	0	1	0.4651463	13	42	148
1	0	1	20260611	155813	23	4	2	65.4543	0.3636	60	5.4543	1	1	1	0.5823068	19	122	2	58.0167	60	1.9833	0	0	1	0.6827648	13	42	149
1	0	1	20260611	155815	24	4	2	52.5441	-0.4971	60	7.4559	0	0	1	1.5990686	20	123	2	65.4543	60	5.4543	1	1	1	0.5823068	13	42	150
1	0	1	20260611	155819	25	4	2	68.4853	0.5657	60	8.4853	1	1	1	1.7514858	21	124	2	52.5441	60	7.4559	0	0	1	1.5990686	13	42	151
1	0	1	20260611	155822	26	4	2	58.8228	-0.0785	60	1.1772	0	0	1	0.831567	22	125	2	68.4853	60	8.4853	1	1	1	1.7514858	13	42	152
1	0	1	20260611	155825	27	4	2	50.4258	-0.6383	60	9.5742	0	0	1	0.6825323	23	126	2	58.8228	60	1.1772	0	0	1	0.831567	13	42	153
1	0	1	20260611	155827	28	4	2	53.3008	-0.4466	60	6.6992	0	0	1	1.2995472	24	127	2	50.4258	60	9.5742	0	0	1	0.6825323	13	42	154
1	0	1	20260611	155830	29	4	2	54.7059	-0.3529	60	5.2941	0	0	1	0.600001	25	128	2	53.3008	60	6.6992	0	0	1	1.2995472	13	42	155
1	0	1	20260611	155833	30	4	2	61.4605	0.0974	60	1.4605	1	0	0	0.6657505	25	128	2	54.7059	60	5.2941	0	0	1	0.600001	13	42	156
